data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-27T21:02:57,16+,1308831,293501,1602332,25.24,5.66,2021-01-27T23:58:02
2021-01-28T21:03:24,16-19,1340,110,1450,0.58,0.05,2021-01-28T23:58:02
2021-01-28T21:03:24,20-29,135520,33845,169365,22.01,5.5,2021-01-28T23:58:02
2021-01-28T21:03:24,30-39,202889,66211,269100,29.18,9.52,2021-01-28T23:58:02
2021-01-28T21:03:24,40-49,253567,81098,334665,28.05,8.97,2021-01-28T23:58:02
2021-01-28T21:03:24,50-59,340589,110586,451175,35.85,11.64,2021-01-28T23:58:02
2021-01-28T21:03:24,60-69,209870,67660,277530,28.26,9.11,2021-01-28T23:58:02
2021-01-28T21:03:24,70-79,48984,7128,56112,8.15,1.19,2021-01-28T23:58:02
2021-01-28T21:03:24,80-89,71018,8011,79029,19.47,2.2,2021-01-28T23:58:02
2021-01-28T21:03:24,90+,55011,7188,62199,69.23,9.05,2021-01-28T23:58:02
2021-01-28T21:03:24,16+,1318788,381837,1700625,25.44,7.36,2021-01-28T23:58:02
2021-01-29T18:26:37,16-19,1342,151,1493,0.58,0.07,2021-01-29T23:58:01
2021-01-29T18:26:37,20-29,136227,41755,177982,22.12,6.78,2021-01-29T23:58:01
2021-01-29T18:26:37,30-39,204053,79970,284023,29.35,11.5,2021-01-29T23:58:01
2021-01-29T18:26:37,40-49,255213,98563,353776,28.23,10.9,2021-01-29T23:58:01
2021-01-29T18:26:37,50-59,342620,134676,477296,36.06,14.17,2021-01-29T23:58:01
2021-01-29T18:26:37,60-69,211080,82129,293209,28.43,11.06,2021-01-29T23:58:01
2021-01-29T18:26:37,70-79,49600,9129,58729,8.26,1.52,2021-01-29T23:58:01
2021-01-29T18:26:37,80-89,72275,10345,82620,19.82,2.84,2021-01-29T23:58:01
2021-01-29T18:26:37,90+,56222,9280,65502,70.76,11.68,2021-01-29T23:58:01
2021-01-29T18:26:37,16+,1328632,465998,1794630,25.63,8.99,2021-01-29T23:58:01
2021-01-30T20:03:37,16-19,1348,204,1552,0.58,0.09,2021-01-30T23:58:01
2021-01-30T20:03:37,20-29,136852,51217,188069,22.23,8.32,2021-01-30T23:58:01
2021-01-30T20:03:37,30-39,205034,94839,299873,29.49,13.64,2021-01-30T23:58:01
2021-01-30T20:03:37,40-49,256623,116654,373277,28.39,12.9,2021-01-30T23:58:01
2021-01-30T20:03:37,50-59,344698,159287,503985,36.28,16.76,2021-01-30T23:58:01
2021-01-30T20:03:37,60-69,212966,99893,312859,28.68,13.45,2021-01-30T23:58:01
2021-01-30T20:03:37,70-79,49918,12168,62086,8.31,2.03,2021-01-30T23:58:01
2021-01-30T20:03:37,80-89,72817,12948,85765,19.96,3.55,2021-01-30T23:58:01
2021-01-30T20:03:37,90+,56559,11458,68017,71.18,14.42,2021-01-30T23:58:01
2021-01-30T20:03:37,16+,1336815,558668,1895483,25.78,10.78,2021-01-30T23:58:01
2021-01-31T17:45:26,16-19,1351,314,1665,0.58,0.14,2021-01-31T23:58:02
2021-01-31T17:45:26,20-29,137145,58206,195351,22.27,9.45,2021-01-31T23:58:02
2021-01-31T17:45:26,30-39,205557,104672,310229,29.56,15.05,2021-01-31T23:58:02
2021-01-31T17:45:26,40-49,257281,128303,385584,28.46,14.19,2021-01-31T23:58:02
2021-01-31T17:45:26,50-59,345625,174642,520267,36.38,18.38,2021-01-31T23:58:02
2021-01-31T17:45:26,60-69,213616,110674,324290,28.77,14.91,2021-01-31T23:58:02
2021-01-31T17:45:26,70-79,50145,14158,64303,8.35,2.36,2021-01-31T23:58:02
2021-01-31T17:45:26,80-89,73285,14381,87666,20.09,3.94,2021-01-31T23:58:02
2021-01-31T17:45:26,90+,56819,12517,69336,71.51,15.75,2021-01-31T23:58:02
2021-01-31T17:45:26,16+,1340824,617867,1958691,25.86,11.92,2021-01-31T23:58:02
2021-02-01T18:00:48,16-19,1354,414,1768,0.58,0.18,2021-02-01T23:58:02
2021-02-01T18:00:48,20-29,137560,64264,201824,22.34,10.44,2021-02-01T23:58:02
2021-02-01T18:00:48,30-39,206041,113363,319404,29.63,16.3,2021-02-01T23:58:02
2021-02-01T18:00:48,40-49,257931,139147,397078,28.53,15.39,2021-02-01T23:58:02
2021-02-01T18:00:48,50-59,346525,189780,536305,36.47,19.97,2021-02-01T23:58:02
2021-02-01T18:00:48,60-69,214143,120496,334639,28.84,16.23,2021-02-01T23:58:02
2021-02-01T18:00:48,70-79,50344,16249,66593,8.38,2.71,2021-02-01T23:58:02
2021-02-01T18:00:48,80-89,73541,16416,89957,20.16,4.5,2021-02-01T23:58:02
2021-02-01T18:00:48,90+,56991,14141,71132,71.73,17.8,2021-02-01T23:58:02
2021-02-01T18:00:48,16+,1344430,674270,2018700,25.93,13.0,2021-02-01T23:58:02
2021-02-02T20:01:15,16-19,1362,486,1848,0.59,0.21,2021-02-02T23:58:02
2021-02-02T20:01:15,20-29,138539,74442,212981,22.5,12.09,2021-02-02T23:58:02
2021-02-02T20:01:15,30-39,207287,127398,334685,29.81,18.32,2021-02-02T23:58:02
2021-02-02T20:01:15,40-49,259650,157365,417015,28.72,17.41,2021-02-02T23:58:02
